id,nombre,efecto,velocidad,descripcion
GLU,Glutamato,Excitatorio,2.5,"Principal mediador de información sensorial y motora."
GABA,Ácido Gamma-aminobutírico,Inhibitorio,1.2,"Reduce la actividad neuronal; control del estrés."
ACH,Acetilcolina,Excitatorio,2.0,"Fundamental para la memoria y activación muscular."
DA,Dopamina,Modulador,1.5,"Regula el placer, recompensa y la motivación."
5HT,Serotonina,Modulador,1.0,"Influye en el estado de ánimo y ciclo del sueño."
NE,Norepinefrina,Excitatorio,1.8,"Relacionado con la atención y respuesta de alerta."
GLY,Glicina,Inhibitorio,1.1,"Principal inhibidor en la médula espinal."
HIS,Histamina,Excitatorio,1.4,"Regula el despertar y la atención."
ASP,Aspartato,Excitatorio,2.3,"Estimulante cerebral similar al glutamato."
EPI,Epinefrina,Excitatorio,2.0,"Respuesta de estrés agudo (adrenalina)."
OX,Oxitocina,Modulador,0.8,"Vinculación social y confianza."
VAS,Vasopresina,Modulador,0.9,"Regula la homeostasis y el comportamiento social."
SUBP,Sustancia P,Excitatorio,0.7,"Transmisión de señales de dolor."
MET,Met-encefalina,Inhibitorio,0.6,"Opioide endógeno que reduce el dolor."
LEU,Leu-encefalina,Inhibitorio,0.6,"Regulación de la respuesta al dolor."
B-END,Beta-endorfina,Inhibitorio,0.5,"Produce euforia y analgesia natural."
SOM,Somatostatina,Modulador,0.7,"Inhibe la secreción de hormonas y modula neuronas."
CCK,Colecistoquinina,Modulador,0.9,"Relacionado con la saciedad y ansiedad."
NPY,Neuropéptido Y,Modulador,1.0,"Estimula el apetito y reduce la ansiedad."
GAL,Galanina,Modulador,0.8,"Implicado en el aprendizaje y el sueño."
VIP,Péptido Vasoactivo Int.,Modulador,1.1,"Regula ritmos circadianos."
TRH,Hormona Liberadora Tir.,Excitatorio,1.3,"Estimula el metabolismo neuronal."
CRH,Hormona Lib. Cortico.,Excitatorio,1.2,"Coordinador central de la respuesta al estrés."
GNRH,Hormona Lib. Gonado.,Modulador,0.7,"Regulación del comportamiento reproductivo."
ADEN,Adenosina,Inhibitorio,0.4,"Induce el sueño y suprime el despertar."
ATP,Adenosín trifosfato,Excitatorio,2.2,"Co-transmisor en sinapsis rápidas."
NO,Óxido Nítrico,Modulador,3.0,"Gas que difunde libremente (retroalimentación)."
CO,Monóxido de Carbono,Modulador,2.8,"Mensajero gaseoso de larga distancia."
AEA,Anandamida,Modulador,0.6,"Cannabinoide endógeno; regula el apetito y ánimo."
2-AG,2-araquidonoilglicerol,Modulador,0.6,"Principal cannabinoide del sistema nervioso."
MEL,Melatonina,Inhibitorio,0.5,"Regula el ciclo circadiano sueño-vigilia."
ANGII,Angiotensina II,Excitatorio,1.5,"Estimula la sed y la presión arterial."
BOMB,Bombesina,Modulador,0.9,"Regula la termorregulación."
D-SER,D-Serina,Excitatorio,2.1,"Co-agonista del receptor NMDA."
TAUR,Taurina,Inhibitorio,1.3,"Protege contra la excitotoxicidad."
AGRP,Proteína Agouti,Modulador,0.7,"Aumenta la ingesta de alimentos."
CART,Transcrito Reg. Cocaina,Modulador,1.1,"Suprime el apetito y modula el estrés."
DYN,Dinorfina,Inhibitorio,0.5,"Opioide relacionado con el estrés negativo."
NOS,Nociceptina,Inhibitorio,0.6,"Antagonista de la analgesia."
NPW,Neuropéptido W,Modulador,0.8,"Regula el eje del estrés y la energía."
NPS,Neuropéptido S,Excitatorio,1.6,"Aumenta el estado de alerta y reduce el miedo."
QRFP,Piroglutamil RF-amida,Modulador,0.9,"Implicado en la conducta alimentaria."
OREX,Orexina (Hipocretina),Excitatorio,1.9,"Mantiene el estado de vigilia."
MCH,Hormona Conc. Melanina,Modulador,0.7,"Regula el sueño REM y el balance energético."
GHRH,Hormona Lib. Somat.,Modulador,0.9,"Relacionado con el crecimiento y reparación celular."
PRRP,Péptido Lib. Prolactina,Modulador,0.8,"Respuesta al estrés y balance de fluidos."
PACAP,Péptido Act. Adenilato,Excitatorio,1.4,"Neuroprotector y modulador sináptico."
NKA,Neuroquinina A,Excitatorio,1.2,"Mediador de la inflamación neurogénica."
NKB,Neuroquinina B,Modulador,1.1,"Regulación de la función reproductiva."
MOT,Motilina,Modulador,0.8,"Comunicación intestino-cerebro."
